selector,case,expected_backend,predicted_backend,correct
random_admissible,edge_low_latency,edge-backend,remote-edge-backend,False
random_admissible,remote_fog_monitoring,remote-edge-backend,remote-edge-backend,True
random_admissible,wetware_supervised,wetware-backend,wetware-backend,True
random_admissible,chemical_fresh,chemical-backend,chemical-backend,True
random_admissible,edge_primary_drifted,remote-edge-backend,remote-edge-backend,True
random_admissible,chemical_stale_twin,,chemical-backend,False
random_admissible,wetware_without_supervision,,wetware-backend,False
modality_only,edge_low_latency,edge-backend,edge-backend,True
modality_only,remote_fog_monitoring,remote-edge-backend,edge-backend,False
modality_only,wetware_supervised,wetware-backend,wetware-backend,True
modality_only,chemical_fresh,chemical-backend,chemical-backend,True
modality_only,edge_primary_drifted,remote-edge-backend,edge-backend,False
modality_only,chemical_stale_twin,,chemical-backend,False
modality_only,wetware_without_supervision,,wetware-backend,False
latency_only,edge_low_latency,edge-backend,edge-backend,True
latency_only,remote_fog_monitoring,remote-edge-backend,edge-backend,False
latency_only,wetware_supervised,wetware-backend,wetware-backend,True
latency_only,chemical_fresh,chemical-backend,chemical-backend,True
latency_only,edge_primary_drifted,remote-edge-backend,edge-backend,False
latency_only,chemical_stale_twin,,chemical-backend,False
latency_only,wetware_without_supervision,,wetware-backend,False
physmcp_full,edge_low_latency,edge-backend,edge-backend,True
physmcp_full,remote_fog_monitoring,remote-edge-backend,remote-edge-backend,True
physmcp_full,wetware_supervised,wetware-backend,wetware-backend,True
physmcp_full,chemical_fresh,chemical-backend,chemical-backend,True
physmcp_full,edge_primary_drifted,remote-edge-backend,remote-edge-backend,True
physmcp_full,chemical_stale_twin,,,True
physmcp_full,wetware_without_supervision,,,True
